order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,8,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.15927647770954476,0.020666052781370205,0.15038182892435487,0.167889299385527
24,8,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.032120671237518286,0.0019636431883236515,0.03130674596930471,0.03297153584537108
24,8,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.03310839221474148,0.0022798635114745433,0.032136136415993,0.03409149303582283
24,8,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.16572549088441907,0.019315921273929917,0.1572220734584928,0.173616959462041
24,9,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.19329074360194745,0.02724138327036666,0.1816358818536316,0.20473355592940462
24,9,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.17642590571429226,0.028502679363736794,0.16438941528827403,0.18831894317702913
24,9,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.18292013729160375,0.02852867868845462,0.17080685100453627,0.19496977584034111
24,9,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.16656013783780957,0.02988720167813535,0.15330984304430129,0.17882994193828206
24,9,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.20099334802848898,0.026488604532002528,0.18982634425612133,0.21221160185737784
24,9,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.1921711714701337,0.02568344357958369,0.18125881631407087,0.20298335973688192
24,9,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.18442223711588998,0.02782744575784512,0.1728287004453998,0.19629187236141224
24,9,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.1760863772698779,0.027027153661106935,0.1645420920759459,0.18767606315993898
24,9,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.029317885661158737,0.00348599909845599,0.027816558176403723,0.030765641050550567
24,9,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.027039453189137762,0.0031401225102775094,0.02565604179395798,0.028386354164621142
24,9,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.028922351015542434,0.002524913927841358,0.027844303738981495,0.029991444011137854
24,9,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.02784191851289188,0.00237580280238059,0.026738547523401275,0.028767434465306756
24,9,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.19329074360194745,0.027241383270366657,0.1813891504306692,0.20485032949037554
24,9,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.02703945318913776,0.0031401225102775147,0.025688746317094467,0.028367380039926535
24,9,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.029317885661158734,0.0034859990984559943,0.02787974459124286,0.030864007780231954
24,9,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.20099334802848898,0.026488604532002535,0.18967839920049323,0.2122456186704134
24,10,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.20663483420130904,0.03525240577952531,0.19177645223390627,0.22118320753945378
24,10,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.19146164404943672,0.03688457020205371,0.17561383945166117,0.20694368844062552
24,10,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.20596836685433723,0.03544548885354603,0.19045966764892427,0.22071864707159014
24,10,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.19243727229871213,0.03715000620445015,0.176484269744379,0.20800503743352036
24,10,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.21830995051984922,0.027158713733364325,0.20699540829013405,0.2298987598200687
24,10,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.22150686578040296,0.028886068032436044,0.2093106768277288,0.23371064220711318
24,10,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.20363805440063149,0.028664086380924464,0.19164289968801834,0.21617001577500322
24,10,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.20853482575301668,0.030562094334430554,0.1954436133667818,0.22181416122887893
24,10,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.016265073633604556,0.005132540658972528,0.014064130245710876,0.01852156754843075
24,10,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.012576976515461791,0.00408357383377289,0.01086991000053397,0.014388021158349184
24,10,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.01464560144819076,0.003632675499200215,0.013093053499441416,0.016200789180719637
24,10,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.014767293334656206,0.004625992329927095,0.012711273514277878,0.016552917004634585
24,10,mean_gain,gain_over_fair,permute_columns_fixed_anchor,columns,all,fair_coin,columns,all,20,0.20663483420130904,0.035252405779525334,0.19134904609556763,0.22145391868848585
24,10,mean_gain,gain_over_fair,permute_columns_fixed_anchor,rows,all,fair_coin,rows,all,20,0.01257697651546178,0.004083573833772888,0.010846747492920387,0.014317409839273789
24,10,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.01626507363360453,0.0051325406589725325,0.01414457219437105,0.018463665169676187
24,10,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.21830995051984928,0.02715871373336433,0.206714420745423,0.22984273677464526
24,11,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.26034243150620145,0.03287533217242631,0.24661906295853755,0.27439275617809866
24,11,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.24821931453634938,0.034571254405693676,0.2333333949143901,0.2630170324223213
